ent_regis,Capital,Estado,Latitude,Longitude
1,Aguascalientes, Aguascalientes,21.8823395,-102.2825928
2,Mexicali, Baja California,32.6278114,-115.4544601
3,La Paz, Baja California Sur,26.0444446,-111.6660725
4,San Francisco de Campeche, Campeche,19.8438606,-90.5255432
5,Saltillo, Coahuila,25.4232101,-101.0053024
6,Colima, Colima,19.2499695,-103.7271423
7,Tuxtla Gutiérrez, Chiapas,16.7597294,-93.1130829
8,Chihuahua, Chihuahua,28.6352806,-106.0888901
9,Ciudad de México, Ciudad de México,19.4284706,-99.1276627
10,Victoria de Durango, Durango,24.0203209,-104.6575623
11,Guanajuato, Guanajuato,21.0185795,-101.2591019
12,Chilpancingo de los Bravo, Guerrero,17.5506001,-99.5057831
13,Pachuca de Soto, Hidalgo,20.1169701,-98.7332916
14,Guadalajara, Jalisco,20.6668205,-103.3918228
15,Toluca de Lerdo, México,19.2878609,-99.6532364
16,Morelia, Michoacán,19.7007809,-101.184433
17,Cuernavaca, Morelos,18.9260998,-99.230751
18,Tepic, Nayarit,21.50951,-104.8956909
19,Monterrey, Nuevo León,25.6750698,-100.3184662
20,Oaxaca de Juárez, Oaxaca,17.0654202,-96.7236481
21,Puebla de Zaragoza, Puebla,19.0379295,-98.2034607
22,Santiago de Querétaro, Querétaro,20.5880604,-100.3880615
23,Chetumal, Quintana Roo,18.5141296,-88.3038101
24,San Luis Potosí, San Luis Potosí,22.1498203,-100.9791565
25,Culiacán Rosales, Sinaloa,24.7903194,-107.3878174
26,Hermosillo, Sonora,29.1026001,-110.9773178
27,Villahermosa, Tabasco,17.9868908,-92.9302826
28,Ciudad Victoria, Tamaulipas,24.26694,-98.8362755
29,Tlaxcala de Xicohténcatl, Tlaxcala,19.3190498,-98.1998215
30,Xalapa-Enríquez, Veracruz,19.5312405,-96.9158936
31,Mérida, Yucatán,20.9753704,-89.6169586
32,Zacatecas, Zacatecas,22.7684307,-102.5814133
